industry,count
metals_nonferrous_metal_production_and_processing_sales_marketing_and_support,2
metals_other_fabricated_metal_products_manufacturing,2
metals_other_metal_ore_mining_extraction,3
metals_other_metal_ore_mining_logistics_distribution_and_transportation,1
metals_other_metal_ore_mining_manufacturing,2
metals_other_metals_manufacturing,1
metals_steel_products_manufacturing,4
minerals_nonmetallic_mineral_mining_and_quarrying_extraction,2
minerals_nonmetallic_mineral_mining_and_quarrying_manufacturing,1
non_automotive_transport_oem_motorcycle_bicycle_and_parts_maintenance_and_servicing,1
non_automotive_transport_oem_motorcycle_bicycle_and_parts_manufacturing,2
paper_printing_and_packaging_converted_paper_products_manufacturing,3
paper_printing_and_packaging_other_paper_printing_and_packaging_manufacturing,1
paper_printing_and_packaging_pulp_paper_and_paperboard_manufacturing,3
pharmaceuticals_medicinal_and_botanical_manufacturing,1
pharmaceuticals_medicinal_and_botanical_sales_marketing_and_support,2
pharmaceuticals_pharmaceutical_preparations_manufacturing,6
plastics_plastic_pipes_pipe_fitting_and_unlaminated_profile_shapes_manufacturing,1
plastics_plastics_packaging_materials_and_unlaminated_film_and_sheets_manufacturing,1
real_estate_commercial_and_institutional_building_construction_construction,10
real_estate_commercial_and_institutional_building_construction_sales_marketing_and_support,2
real_estate_industrial_building_construction_construction,1
real_estate_industrial_building_construction_headquarters,1
real_estate_other_real_estate_construction,1
real_estate_other_real_estate_sales_marketing_and_support,1
real_estate_real_estate_services_sales_marketing_and_support,1
real_estate_rental_and_leasing_services_business_services,6
real_estate_residential_building_construction_construction,4
renewable_energy_biomass_power_electricity,1
renewable_energy_biomass_power_manufacturing,1
renewable_energy_hydroelectric_power_electricity,3
renewable_energy_hydroelectric_power_sales_marketing_and_support,1
renewable_energy_other_electric_power_generation_renewable_energy_electricity,1
renewable_energy_solar_electric_power_electricity,7
renewable_energy_solar_electric_power_sales_marketing_and_support,3
rubber_other_rubber_products_manufacturing,3
rubber_tyres_manufacturing,1
software_and_it_services_custom_computer_programming_services_business_services,5
software_and_it_services_custom_computer_programming_services_technical_support_centre,1
software_and_it_services_internet_publishing_and_broadcasting_and_web_search_ict_and_internet_infrastructure,1
software_and_it_services_internet_publishing_and_broadcasting_and_web_search_sales_marketing_and_support,8
software_and_it_services_software_publishers_except_video_games_research_and_development,1
software_and_it_services_software_publishers_except_video_games_sales_marketing_and_support,15
space_and_defence_military_armoured_vehicle_tank_and_components_manufacturing,1
textiles_apparel_accessories_and_other_apparel_manufacturing,2
textiles_clothing_and_clothing_accessories_manufacturing,15
textiles_clothing_and_clothing_accessories_retail,7
textiles_clothing_and_clothing_accessories_sales_marketing_and_support,1
textiles_cut_and_sew_apparel_manufacturing,1
textiles_leather_and_hide_tanning_and_finishing_manufacturing,1
textiles_other_leather_and_allied_products_manufacturing,1
textiles_textiles_and_textile_mills_manufacturing,9
transportation_and_warehousing_air_transportation_logistics_distribution_and_transportation,3
transportation_and_warehousing_air_transportation_sales_marketing_and_support,3
transportation_and_warehousing_freightdistribution_services_logistics_distribution_and_transportation,16
transportation_and_warehousing_freightdistribution_services_sales_marketing_and_support,22
transportation_and_warehousing_petroleum_bulk_stations_and_terminals_logistics_distribution_and_transportation,3
transportation_and_warehousing_pipeline_transportation_of_natural_gas_logistics_distribution_and_transportation,1
transportation_and_warehousing_truck_transportation_sales_marketing_and_support,1
transportation_and_warehousing_warehousing_and_storage_logistics_distribution_and_transportation,5
transportation_and_warehousing_water_transportation_sales_marketing_and_support,3
wood_products_wood_products_manufacturing,1
