total_greenfield,total_greenfield_excl_nat_res,total_greenfield_excl_col_link,total_greenfield_excl_qst_source,emne_greenfield,emne_greenfield_excl_nat_res,emne_greenfield_excl_col_link,emne_greenfield_excl_qst_source,total_m_and_a,total_m_and_a_excl_nat_res,total_m_and_a_excl_col_link,total_m_and_a_excl_qst_source,emne_m_and_a,emne_m_and_a_excl_nat_res,emne_m_and_a_excl_col_link,emne_m_and_a_excl_qst_source,country,year,total_fdi,total_fdi_excl_nat_res,total_fdi_excl_col_link,total_fdi_excl_qst_source,emne_fdi,emne_fdi_excl_nat_res,emne_fdi_excl_col_link,emne_fdi_excl_qst_source,prop_emne_fdi,prop_emne_fdi_excl_nat_res,prop_emne_fdi_excl_col_link,prop_emne_fdi_excl_qst_source
9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,niger,2017,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,1.0,1.0,1.0,1.0
113.98761999999999,113.98761999999999,113.98761999999999,113.98761999999999,59.1,59.1,59.1,59.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rwanda,2017,113.98761999999999,113.98761999999999,113.98761999999999,113.98761999999999,59.1,59.1,59.1,59.1,0.5184773574533796,0.5184773574533796,0.5184773574533796,0.5184773574533796
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sao_tome_and_principe,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
713.1717,713.1717,557.6717,713.1717,256.8717,256.8717,256.8717,256.8717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,senegal,2017,713.1717,713.1717,557.6717,713.1717,256.8717,256.8717,256.8717,256.8717,0.36018212724930054,0.36018212724930054,0.460614551536325,0.36018212724930054
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.969,5.969,0.0,5.969,0.0,0.0,0.0,0.0,sierra_leone,2017,5.969,5.969,0.0,5.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,solomon_islands,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,somalia,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,south_sudan,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.202,18.202,18.202,18.202,18.202,18.202,18.202,18.202,sudan,2017,18.202,18.202,18.202,18.202,18.202,18.202,18.202,18.202,1.0,1.0,1.0,1.0
1735.95541,1735.95541,1720.7554100000002,1735.95541,1390.3000000000002,1390.3000000000002,1390.3000000000002,1390.3000000000002,58.61,58.61,0.11,58.61,0.11,0.11,0.11,0.11,tanzania,2017,1794.56541,1794.56541,1720.86541,1794.56541,1390.41,1390.41,1390.41,1390.41,0.7747892566367921,0.7747892566367921,0.8079713799349363,0.7747892566367921
2.7,2.7,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,togo,2017,2.7,2.7,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tuvalu,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326.29999999999995,326.29999999999995,326.29999999999995,326.29999999999995,117.10000000000001,117.10000000000001,117.10000000000001,117.10000000000001,103.716,93.241,103.716,103.716,5.741,5.741,5.741,5.741,uganda,2017,430.01599999999996,419.54099999999994,430.01599999999996,430.01599999999996,122.84100000000001,122.84100000000001,122.84100000000001,122.84100000000001,0.28566611474921866,0.29279855842456404,0.28566611474921866,0.28566611474921866
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,vanuatu,2017,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,yemen,2017,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,1.0,1.0,1.0,1.0
2015.6000000000001,1525.6000000000001,810.4000000000001,2015.6000000000001,592.0,592.0,592.0,592.0,102.87899999999999,0.729,97.829,102.87899999999999,0.0,0.0,0.0,0.0,zambia,2017,2118.4790000000003,1526.3290000000002,908.229,2118.4790000000003,592.0,592.0,592.0,592.0,0.27944577217900196,0.3878587119814928,0.6518179886350248,0.27944577217900196
