country,year,total_greenfield,total_greenfield_excl_nat_res,total_greenfield_excl_col_link,total_greenfield_excl_qst_source,emne_greenfield,emne_greenfield_excl_nat_res,emne_greenfield_excl_col_link,emne_greenfield_excl_qst_source,count_greenfield,count_greenfield_excl_nat_res,count_greenfield_excl_col_link,count_greenfield_excl_qst_source,emne_count_greenfield,emne_count_greenfield_excl_nat_res,emne_count_greenfield_excl_col_link,emne_count_greenfield_excl_qst_source,total_m_and_a,total_m_and_a_excl_nat_res,total_m_and_a_excl_col_link,total_m_and_a_excl_qst_source,emne_m_and_a,emne_m_and_a_excl_nat_res,emne_m_and_a_excl_col_link,emne_m_and_a_excl_qst_source,count_m_and_a,count_m_and_a_excl_nat_res,count_m_and_a_excl_col_link,count_m_and_a_excl_qst_source,emne_count_m_and_a,emne_count_m_and_a_excl_nat_res,emne_count_m_and_a_excl_col_link,emne_count_m_and_a_excl_qst_source,total_fdi,total_fdi_excl_nat_res,total_fdi_excl_col_link,total_fdi_excl_qst_source,emne_fdi,emne_fdi_excl_nat_res,emne_fdi_excl_col_link,emne_fdi_excl_qst_source,total_fdi_count,total_fdi_excl_nat_res_count,total_fdi_excl_col_link_count,total_fdi_excl_qst_source_count,emne_fdi_count,emne_fdi_excl_nat_res_count,emne_fdi_excl_col_link_count,emne_fdi_excl_qst_source_count,prop_emne_fdi,prop_emne_fdi_excl_nat_res,prop_emne_fdi_excl_col_link,prop_emne_fdi_excl_qst_source,prop_emne_fdi_count,prop_emne_fdi_excl_nat_res_count,prop_emne_fdi_excl_col_link_count,prop_emne_fdi_excl_qst_source_count,broadband_per_capita,control_of_corruption,gni_per_capita,govt_effectiveness,mobiles_per_capita,phones_per_capita,pol_stability,reg_quality,rule_of_law,voice_and_acc
kiribati,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0922885,0.417874157,,-0.06213117,38.32023396,0.636,0.855434954,-0.815004408,0.600542307,1.047766685
laos,2018,2226.86,2207.46,2226.86,2226.86,2001.86,1982.46,2001.86,2001.86,18,17,18,18,11,10,11,11,19.74,0.0,19.74,19.74,19.74,0.0,19.74,19.74,1,0,1,1,1,0,1,1,2246.6,2207.46,2246.6,2246.6,2021.6,1982.46,2021.6,2021.6,19,17,19,19,12,10,12,12,0.8998486601976321,0.8980728982631622,0.8998486601976321,0.8998486601976321,0.631578947368421,0.5882352941176471,0.631578947368421,0.631578947368421,0.387809,-0.967064977,,-0.416994154,53.04168369,16,0.394011855,-0.751458883,-0.90471828,-1.75141418
lesotho,2018,162.4,68.0,162.4,162.4,2.5,2.5,2.5,2.5,4,3,4,4,2,2,2,2,14.26,14.26,14.26,14.26,0.0,0.0,0.0,0.0,2,2,2,2,0,0,0,0,176.66,82.26,176.66,176.66,2.5,2.5,2.5,2.5,6,5,6,6,2,2,2,2,0.014151477414242,0.0303914417699975,0.014151477414242,0.014151477414242,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.223493,-0.058279932,1229.094273,-0.925521493,109.6832836,0.493,-0.194125235,-0.382606447,-0.299606234,-0.008935785
liberia,2018,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,4,4,4,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.185608,-0.687493205,,-1.365272641,55.45558956,,-0.320534796,-0.983210862,-0.97061491,0.042723432
madagascar,2018,796.7,796.7,796.7,775.1,670.6,670.6,670.6,670.6,3,3,3,2,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,2,1,1,1,1,796.7,796.7,796.7,775.1,670.6,670.6,670.6,670.6,5,5,4,4,2,2,2,2,0.8417221036776704,0.8417221036776704,0.8417221036776704,0.8651786866210811,0.4,0.4,0.5,0.5,0.0935555,-1.074516296,453.2425219,-1.195470214,33.36129841,0.257,-0.30283758,-0.737336755,-0.878510773,-0.345090419
malawi,2018,889.9,889.9,889.9,889.9,889.9,889.9,889.9,889.9,5,5,5,5,5,5,5,5,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,1,1,1,1,1,1,1,1,914.0,914.0,914.0,914.0,914.0,914.0,914.0,914.0,6,6,6,6,6,6,6,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0599566,-0.68725425,,-0.726111114,43.46753766,0.0961,-0.249828547,-0.791547,-0.394216031,-0.030692024
mali,2018,64.82000000000001,64.82000000000001,64.82000000000001,64.82000000000001,54.02,54.02,54.02,54.02,2,2,2,2,1,1,1,1,0.7,0.0,0.7,0.7,0.0,0.0,0.0,0.0,3,1,3,3,1,0,1,1,65.52000000000001,64.82000000000001,65.52000000000001,65.52000000000001,54.02,54.02,54.02,54.02,5,3,5,5,2,1,2,2,0.8244810744810744,0.8333847577908052,0.8244810744810744,0.8244810744810744,0.4,0.3333333333333333,0.4,0.4,0.0777267,-0.6660133,731.9551873,-0.964599192,114.0992437,1.08,-1.903490663,-0.616949379,-0.793805599,-0.211932972
mauritania,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.379,0.0,0.379,0.379,0.0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,0.379,0.0,0.379,0.379,0.0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.300123,-0.77436024,1569.571845,-0.80409348,97.93613675,1.36,-0.629497826,-0.82117039,-0.619425774,-0.801386774
mozambique,2018,2041.684,1942.2840000000003,1913.184,2041.684,221.484,221.484,221.484,221.484,15,14,10,15,4,4,4,4,55.19,53.69,55.19,55.19,53.69,53.69,53.69,53.69,5,3,5,4,3,2,3,3,2096.874,1995.9740000000004,1968.3740000000005,2096.874,275.174,275.174,275.174,275.174,20,17,15,19,7,6,7,7,0.1312305841934231,0.1378645212813393,0.1397976197612851,0.1312305841934231,0.35,0.3529411764705882,0.4666666666666667,0.3684210526315789,0.218846,-0.85798502,591.6294065,-0.95836705,41.56716262,0.286,-0.917248428,-0.772097945,-1.008332849,-0.419679195
myanmar,2018,5257.15,4753.410000000001,5257.15,4473.55,4615.390000000001,4111.650000000001,4615.390000000001,3856.39,57,55,57,51,38,36,38,34,103.26699999999998,103.26699999999998,103.26699999999998,69.16699999999999,88.29499999999999,88.29499999999999,88.29499999999999,68.895,13,13,13,9,6,6,6,4,5360.4169999999995,4856.677000000001,5360.4169999999995,4542.717000000001,4703.685000000001,4199.945000000001,4703.685000000001,3925.285,70,68,70,60,44,42,44,38,0.8774849046258905,0.8647775011597436,0.8774849046258905,0.8640831026894257,0.6285714285714286,0.6176470588235294,0.6285714285714286,0.6333333333333333,0.214986,-0.590761244,,-1.087967515,91.69666523,1.07,-1.084094286,-0.841920257,-0.959706306,-0.864633381
nepal,2018,280.3,280.3,280.3,280.3,95.9,95.9,95.9,95.9,9,9,9,9,4,4,4,4,23.462,23.462,23.462,23.462,8.4,8.4,8.4,8.4,3,2,3,3,1,1,1,1,303.762,303.762,303.762,303.762,104.3,104.3,104.3,104.3,12,11,12,12,5,5,5,5,0.3433609207208275,0.3433609207208275,0.3433609207208275,0.3433609207208275,0.4166666666666667,0.4545454545454545,0.4166666666666667,0.4166666666666667,1.79644,-0.776277244,956.1383911,-0.942965806,128.0766788,3.07,-0.5841012,-0.740814745,-0.694215536,-0.19951579
niger,2018,100.2,100.2,100.2,100.2,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2,1,1,0,1,1,100.2,100.2,100.2,100.2,0.0,0.0,0.0,0.0,3,2,3,2,1,0,1,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.5,0.0403537,-0.688091576,512.8803166,-0.754891455,40.38511133,0.533,-1.259505153,-0.726772189,-0.70625025,-0.430217505
rwanda,2018,284.70000000000005,284.70000000000005,264.70000000000005,263.1,42.7,42.7,42.7,42.7,11,11,10,10,3,3,3,3,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,3,1,3,2,2,0,2,2,291.70000000000005,291.70000000000005,271.70000000000005,263.1,42.7,42.7,42.7,42.7,14,12,13,12,5,3,5,5,0.1463832704833733,0.1463832704833733,0.1571586308428413,0.1622957050551121,0.3571428571428571,0.25,0.3846153846153846,0.4166666666666667,0.178494,0.607264578,744.9464074,0.178770423,72.10934219,0.101,0.078270361,0.08438345,0.116847567,-1.120504379
sao_tome_and_principe,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714596,0.152436048,,-0.8470487,83.62158473,2.69,0.183460847,-0.894111037,-0.726939261,0.298387945
senegal,2018,322.7,322.7,164.5,322.7,5.2,5.2,5.2,5.2,9,9,4,9,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,3,3,2,1,2,2,322.7,322.7,164.5,322.7,5.2,5.2,5.2,5.2,12,11,7,12,3,2,3,3,0.0161140378060117,0.0161140378060117,0.0316109422492401,0.0161140378060117,0.25,0.1818181818181818,0.4285714285714285,0.25,0.722423,-0.114238143,1301.227556,-0.365349919,103.9621401,1.88,-0.055723127,-0.193443179,-0.169250667,0.317168027
sierra_leone,2018,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.590534508,600.813629,-1.221212745,86.29036859,0.23,-0.039427098,-0.952105999,-0.807308137,-0.194167793
solomon_islands,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.170052,0.095240965,2166.601875,-0.928836346,72.29745476,1.08,0.188087985,-0.815379918,-0.190316245,0.489998966
somalia,2018,158.2,158.2,148.7,158.2,148.7,148.7,148.7,148.7,3,3,2,3,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,158.2,158.2,148.7,158.2,148.7,148.7,148.7,148.7,3,3,2,3,2,2,2,2,0.9399494310998736,0.9399494310998736,1.0,0.9399494310998736,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.656985,-1.70943439,,-2.258919239,47.89352903,,-2.249909878,-2.201314449,-2.263080597,-1.778314114
south_sudan,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00194948,-1.75134778,,-2.439962626,26.16695311,0,-2.446235657,-1.94608295,-1.97194159,-1.823847532
sudan,2018,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,3,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,5,5,5,5,5,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0715194,-1.560215473,,-1.476141453,70.41361876,0.335,-1.971524239,-1.58541584,-1.125489712,-1.839118361
tanzania,2018,715.7,705.7,686.0,715.7,453.3,443.3,453.3,453.3,19,18,17,19,10,9,10,10,7.326,0.0,7.0,7.326,0.0,0.0,0.0,0.0,7,5,6,7,2,2,2,2,723.0260000000001,705.7,693.0,723.0260000000001,453.3,443.3,453.3,453.3,26,23,23,26,12,11,12,12,0.6269484084943003,0.6281706107411081,0.6541125541125541,0.6269484084943003,0.4615384615384615,0.4782608695652174,0.5217391304347826,0.4615384615384615,1.37184,-0.487049073,973.3712158,-0.682943881,71.00758398,0.228,-0.570162177,-0.610303104,-0.469080985,-0.278151184
