country,year,total_greenfield,total_greenfield_excl_nat_res,total_greenfield_excl_col_link,total_greenfield_excl_qst_source,emne_greenfield,emne_greenfield_excl_nat_res,emne_greenfield_excl_col_link,emne_greenfield_excl_qst_source,count_greenfield,count_greenfield_excl_nat_res,count_greenfield_excl_col_link,count_greenfield_excl_qst_source,emne_count_greenfield,emne_count_greenfield_excl_nat_res,emne_count_greenfield_excl_col_link,emne_count_greenfield_excl_qst_source,total_m_and_a,total_m_and_a_excl_nat_res,total_m_and_a_excl_col_link,total_m_and_a_excl_qst_source,emne_m_and_a,emne_m_and_a_excl_nat_res,emne_m_and_a_excl_col_link,emne_m_and_a_excl_qst_source,count_m_and_a,count_m_and_a_excl_nat_res,count_m_and_a_excl_col_link,count_m_and_a_excl_qst_source,emne_count_m_and_a,emne_count_m_and_a_excl_nat_res,emne_count_m_and_a_excl_col_link,emne_count_m_and_a_excl_qst_source,total_fdi,total_fdi_excl_nat_res,total_fdi_excl_col_link,total_fdi_excl_qst_source,emne_fdi,emne_fdi_excl_nat_res,emne_fdi_excl_col_link,emne_fdi_excl_qst_source,total_fdi_count,total_fdi_excl_nat_res_count,total_fdi_excl_col_link_count,total_fdi_excl_qst_source_count,emne_fdi_count,emne_fdi_excl_nat_res_count,emne_fdi_excl_col_link_count,emne_fdi_excl_qst_source_count,prop_emne_fdi,prop_emne_fdi_excl_nat_res,prop_emne_fdi_excl_col_link,prop_emne_fdi_excl_qst_source,prop_emne_fdi_count,prop_emne_fdi_excl_nat_res_count,prop_emne_fdi_excl_col_link_count,prop_emne_fdi_excl_qst_source_count,broadband_per_capita_2016,control_of_corruption_2016,gni_per_capita_2016,govt_effectiveness_2016,mobiles_per_capita_2016,phones_per_capita_2016,pol_stability_2016,reg_quality_2016,rule_of_law_2016,voice_and_acc_2016,broadband_per_capita,control_of_corruption,gni_per_capita,govt_effectiveness,mobiles_per_capita,phones_per_capita,pol_stability,reg_quality,rule_of_law,voice_and_acc,broadband_per_capita_2017,control_of_corruption_2017,gni_per_capita_2017,govt_effectiveness_2017,mobiles_per_capita_2017,phones_per_capita_2017,pol_stability_2017,reg_quality_2017,rule_of_law_2017,voice_and_acc_2017
comoros,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.220293,-0.706209838,1344.86306,-1.677169204,60.89111697,1.76,0.022001922,-1.098677754,-1.047331333,-0.290625662,0.220293,-0.706209838,1344.86306,-1.677169204,60.89111697,1.76,0.022001922,-1.098677754,-1.047331333,-0.290625662,,,,,,,,,,
comoros,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.217268,-0.71099925,1366.859479,-1.678573728,61.56441686,2.27,0.022407399,-1.104941845,-1.107463121,-0.335755855,0.217268,-0.71099925,1366.859479,-1.678573728,61.56441686,2.27,0.022407399,-1.104941845,-1.107463121,-0.335755855
democratic_republic_of_congo,2017,782.7,782.7,782.7,782.7,779.8000000000001,779.8000000000001,779.8000000000001,779.8000000000001,6,6,6,6,5,5,5,5,979.936,1.628,979.936,979.936,57.628,1.628,57.628,57.628,7,5,7,7,4,3,4,4,1762.636,784.3280000000001,1762.636,1762.636,837.4280000000001,781.4280000000001,837.4280000000001,837.4280000000001,13,11,13,13,9,8,9,9,0.4750997937180451,0.9963025672932752,0.4750997937180451,0.4750997937180451,0.6923076923076923,0.7272727272727273,0.6923076923076923,0.6923076923076923,0.00119109,-1.366570234,470.5584182,-1.558774948,35.47706053,0.0,-2.224589348,-1.321727157,-1.64749825,-1.412190676,0.00119109,-1.366570234,470.5584182,-1.558774948,35.47706053,0.0,-2.224589348,-1.321727157,-1.64749825,-1.412190676,,,,,,,,,,
democratic_republic_of_congo,2018,1058.7,911.7,1058.7,1005.7,1005.8,858.8000000000001,1005.8,952.8,9,8,9,8,6,5,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,1,0,1,1,1058.7,911.7,1058.7,1005.7,1005.8,858.8000000000001,1005.8,952.8,10,8,10,9,7,5,7,6,0.9500330594124872,0.9419765273664584,0.9500330594124872,0.947399821020185,0.7,0.625,0.7,0.6666666666666666,,,,,,,,,,,0.00114832,-1.446218252,465.6979878,-1.66798234,41.97184654,0.0,-2.339438915,-1.486596823,-1.71502316,-1.465801239,0.00114832,-1.446218252,465.6979878,-1.66798234,41.97184654,0.0,-2.339438915,-1.486596823,-1.71502316,-1.465801239
djibouti,2017,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.33941,-0.689300656,2573.336595,-1.039362907,33.73974603,2.4,-0.628553987,-0.749578178,-1.000653863,-1.370621085,2.33941,-0.689300656,2573.336595,-1.039362907,33.73974603,2.4,-0.628553987,-0.749578178,-1.000653863,-1.370621085,,,,,,,,,,
djibouti,2018,194.5,164.5,30.0,194.5,30.0,0.0,30.0,30.0,2,1,1,2,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,3,3,3,3,194.5,164.5,30.0,194.5,30.0,0.0,30.0,30.0,5,4,4,5,4,3,4,4,0.1542416452442159,0.0,1.0,0.1542416452442159,0.8,0.75,1.0,0.8,,,,,,,,,,,2.3121,-0.671873569,2624.575192,-1.087286115,35.86235007,3.47,-0.733945012,-0.690780044,-0.93407172,-1.406437516,2.3121,-0.671873569,2624.575192,-1.087286115,35.86235007,3.47,-0.733945012,-0.690780044,-0.93407172,-1.406437516
east_timor,2017,116.8,116.8,116.8,116.8,116.8,116.8,116.8,116.8,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,116.8,116.8,116.8,116.8,116.8,116.8,116.8,116.8,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.054060146,-0.537286937,1827.359325,-1.040115595,121.8496083,0.207,-0.017668042,-0.993600726,-1.175579429,0.220837563,0.054060146,-0.537286937,1827.359325,-1.040115595,121.8496083,0.207,-0.017668042,-0.993600726,-1.175579429,0.220837563,,,,,,,,,,
east_timor,2018,12.3,12.3,0.0,12.3,0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,12.3,12.3,0.0,12.3,0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.267316,-0.566189468,1827.554808,-1.003521681,125.2075432,0.19,0.06638208,-0.746640623,-1.176247716,0.343246967,0.267316,-0.566189468,1827.554808,-1.003521681,125.2075432,0.19,0.06638208,-0.746640623,-1.176247716,0.343246967
eritrea,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192019,-1.343778849,,-1.780414701,15.03586023,2.11,-0.662282407,-2.110893965,-1.662489295,-2.170275927,0.0192019,-1.343778849,,-1.780414701,15.03586023,2.11,-0.662282407,-2.110893965,-1.662489295,-2.170275927,,,,,,,,,,
eritrea,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,1,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,0.0317425,-1.232174397,,-1.799359441,20.45963226,2.1,-0.733444393,-2.182853937,-1.598842502,-2.166185856,0.0317425,-1.232174397,,-1.799359441,20.45963226,2.1,-0.733444393,-2.182853937,-1.598842502,-2.166185856
