country,year,total_greenfield,total_greenfield_excl_nat_res,total_greenfield_excl_col_link,total_greenfield_excl_qst_source,emne_greenfield,emne_greenfield_excl_nat_res,emne_greenfield_excl_col_link,emne_greenfield_excl_qst_source,count_greenfield,count_greenfield_excl_nat_res,count_greenfield_excl_col_link,count_greenfield_excl_qst_source,emne_count_greenfield,emne_count_greenfield_excl_nat_res,emne_count_greenfield_excl_col_link,emne_count_greenfield_excl_qst_source,total_m_and_a,total_m_and_a_excl_nat_res,total_m_and_a_excl_col_link,total_m_and_a_excl_qst_source,emne_m_and_a,emne_m_and_a_excl_nat_res,emne_m_and_a_excl_col_link,emne_m_and_a_excl_qst_source,count_m_and_a,count_m_and_a_excl_nat_res,count_m_and_a_excl_col_link,count_m_and_a_excl_qst_source,emne_count_m_and_a,emne_count_m_and_a_excl_nat_res,emne_count_m_and_a_excl_col_link,emne_count_m_and_a_excl_qst_source,total_fdi,total_fdi_excl_nat_res,total_fdi_excl_col_link,total_fdi_excl_qst_source,emne_fdi,emne_fdi_excl_nat_res,emne_fdi_excl_col_link,emne_fdi_excl_qst_source,total_fdi_count,total_fdi_excl_nat_res_count,total_fdi_excl_col_link_count,total_fdi_excl_qst_source_count,emne_fdi_count,emne_fdi_excl_nat_res_count,emne_fdi_excl_col_link_count,emne_fdi_excl_qst_source_count,prop_emne_fdi,prop_emne_fdi_excl_nat_res,prop_emne_fdi_excl_col_link,prop_emne_fdi_excl_qst_source,prop_emne_fdi_count,prop_emne_fdi_excl_nat_res_count,prop_emne_fdi_excl_col_link_count,prop_emne_fdi_excl_qst_source_count
laos,2017,479.6,474.6,479.6,479.6,77.0,72.0,77.0,77.0,7,6,7,7,5,4,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,3,3,3,3,479.6,474.6,479.6,479.6,77.0,72.0,77.0,77.0,10,9,10,10,8,7,8,8,0.1605504587155963,0.15170670037926676,0.1605504587155963,0.1605504587155963,0.8,0.7777777777777778,0.8,0.8
lesotho,2017,139.2,139.2,139.2,139.2,139.2,139.2,139.2,139.2,1,1,1,1,1,1,1,1,9.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,3,1,3,3,0,0,0,0,148.2,139.2,148.2,148.2,139.2,139.2,139.2,139.2,4,2,4,4,1,1,1,1,0.9392712550607287,1.0,0.9392712550607287,0.9392712550607287,0.25,0.5,0.25,0.25
liberia,2017,238.0,238.0,238.0,238.0,206.9,206.9,206.9,206.9,4,4,4,4,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,238.0,238.0,238.0,238.0,206.9,206.9,206.9,206.9,4,4,4,4,2,2,2,2,0.869327731092437,0.869327731092437,0.869327731092437,0.869327731092437,0.5,0.5,0.5,0.5
madagascar,2017,108.5,108.5,104.5,108.5,104.5,104.5,104.5,104.5,2,2,1,2,1,1,1,1,75.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,4,3,1,4,0,0,0,0,183.5,108.5,179.5,183.5,104.5,104.5,104.5,104.5,6,5,2,6,1,1,1,1,0.5694822888283378,0.9631336405529954,0.5821727019498607,0.5694822888283378,0.16666666666666666,0.2,0.5,0.16666666666666666
malawi,2017,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,2,2,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,0,0,0,0,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,4,4,4,4,2,2,2,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
mali,2017,183.5,183.5,183.5,183.5,183.5,183.5,183.5,183.5,3,3,3,3,3,3,3,3,30.617,18.117,30.617,12.5,18.117,18.117,18.117,0.0,5,2,5,4,2,2,2,1,214.117,201.617,214.117,196.0,201.617,201.617,201.617,183.5,8,5,8,7,5,5,5,4,0.9416207026999257,1.0,0.9416207026999257,0.9362244897959183,0.625,1.0,0.625,0.5714285714285714
mauritania,2017,31.1,31.1,31.1,31.1,9.5,9.5,9.5,9.5,2,2,2,2,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,31.1,31.1,31.1,31.1,9.5,9.5,9.5,9.5,2,2,2,2,1,1,1,1,0.3054662379421222,0.3054662379421222,0.3054662379421222,0.3054662379421222,0.5,0.5,0.5,0.5
mozambique,2017,5683.3334,4714.1334,5645.3334,5683.3334,814.5333999999999,814.5333999999999,814.5333999999999,814.5333999999999,30,28,26,30,12,12,12,12,2806.0,0.0,2806.0,2806.0,0.0,0.0,0.0,0.0,5,1,5,5,2,1,2,2,8489.3334,4714.1334,8451.3334,8489.3334,814.5333999999999,814.5333999999999,814.5333999999999,814.5333999999999,35,29,31,35,14,13,14,14,0.09594786323270092,0.17278539466023596,0.09637927667130017,0.09594786323270092,0.4,0.4482758620689655,0.45161290322580644,0.4
myanmar,2017,2478.4932000000003,2446.6932,2413.7932,2478.4932000000003,1314.2332,1282.4332,1314.2332,1314.2332,60,59,57,60,32,31,32,32,118.93400000000001,79.262,99.934,118.93400000000001,89.072,49.4,89.072,89.072,13,9,12,12,8,4,8,7,2597.4272000000005,2525.9552000000003,2513.7272000000003,2597.4272000000005,1403.3051999999998,1331.8332,1403.3051999999998,1403.3051999999998,73,68,69,72,40,35,40,39,0.540267384587333,0.5272592324677808,0.5582567591264477,0.540267384587333,0.547945205479452,0.5147058823529411,0.5797101449275363,0.5416666666666666
nepal,2017,165.75,165.75,165.75,165.75,158.55,158.55,158.55,158.55,6,6,6,6,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,165.75,165.75,165.75,165.75,158.55,158.55,158.55,158.55,6,6,6,6,4,4,4,4,0.9565610859728507,0.9565610859728507,0.9565610859728507,0.9565610859728507,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
niger,2017,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rwanda,2017,113.98761999999999,113.98761999999999,113.98761999999999,113.98761999999999,59.1,59.1,59.1,59.1,6,6,6,6,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,2,2,2,2,113.98761999999999,113.98761999999999,113.98761999999999,113.98761999999999,59.1,59.1,59.1,59.1,9,9,9,9,6,6,6,6,0.5184773574533796,0.5184773574533796,0.5184773574533796,0.5184773574533796,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
sao_tome_and_principe,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
senegal,2017,713.1717,713.1717,557.6717,713.1717,256.8717,256.8717,256.8717,256.8717,11,11,8,11,5,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,3,5,1,1,1,1,713.1717,713.1717,557.6717,713.1717,256.8717,256.8717,256.8717,256.8717,18,17,11,16,6,6,6,6,0.36018212724930054,0.36018212724930054,0.460614551536325,0.36018212724930054,0.3333333333333333,0.35294117647058826,0.5454545454545454,0.375
sierra_leone,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5.969,5.969,0.0,5.969,0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,0,5.969,5.969,0.0,5.969,0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solomon_islands,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
somalia,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
south_sudan,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sudan,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,18.202,18.202,18.202,18.202,18.202,18.202,18.202,18.202,1,1,1,1,1,1,1,1,18.202,18.202,18.202,18.202,18.202,18.202,18.202,18.202,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tanzania,2017,1735.95541,1735.95541,1720.7554100000002,1735.95541,1390.3000000000002,1390.3000000000002,1390.3000000000002,1390.3000000000002,23,23,20,23,15,15,15,15,58.61,58.61,0.11,58.61,0.11,0.11,0.11,0.11,6,5,4,6,3,3,3,3,1794.56541,1794.56541,1720.86541,1794.56541,1390.41,1390.41,1390.41,1390.41,29,28,24,29,18,18,18,18,0.7747892566367921,0.7747892566367921,0.8079713799349363,0.7747892566367921,0.6206896551724138,0.6428571428571429,0.75,0.6206896551724138
togo,2017,2.7,2.7,0.0,2.7,0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,1,1,1,1,2.7,2.7,0.0,2.7,0.0,0.0,0.0,0.0,3,3,2,3,1,1,1,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333
tuvalu,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uganda,2017,326.29999999999995,326.29999999999995,326.29999999999995,326.29999999999995,117.10000000000001,117.10000000000001,117.10000000000001,117.10000000000001,11,11,11,11,7,7,7,7,103.716,93.241,103.716,103.716,5.741,5.741,5.741,5.741,7,6,7,6,1,1,1,1,430.01599999999996,419.54099999999994,430.01599999999996,430.01599999999996,122.84100000000001,122.84100000000001,122.84100000000001,122.84100000000001,18,17,18,17,8,8,8,8,0.28566611474921866,0.29279855842456404,0.28566611474921866,0.28566611474921866,0.4444444444444444,0.47058823529411764,0.4444444444444444,0.47058823529411764
vanuatu,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,1,1,1,1,1,1,1,1,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
yemen,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,1,1,1,1,1,1,1,1,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
zambia,2017,2015.6000000000001,1525.6000000000001,810.4000000000001,2015.6000000000001,592.0,592.0,592.0,592.0,15,12,11,15,5,5,5,5,102.87899999999999,0.729,97.829,102.87899999999999,0.0,0.0,0.0,0.0,7,4,6,7,3,3,3,3,2118.4790000000003,1526.3290000000002,908.229,2118.4790000000003,592.0,592.0,592.0,592.0,22,16,17,22,8,8,8,8,0.27944577217900196,0.3878587119814928,0.6518179886350248,0.27944577217900196,0.36363636363636365,0.5,0.47058823529411764,0.36363636363636365
